Combined Tag,Parent Tag,Tag,Issue
CE:St. Quentin Cabaret,CE,St. Quentin Cabaret,
CE:St. Sever,CE,St. Sever,
CE:St. Sever Extension,CE,St. Sever Extension,
CE:St. Souplet,CE,St. Souplet,
CE:St. Teath,CE,St. Teath,
CE:St. Waast-La-Vallee,CE,St. Waast-La-Vallee,
CE:Staple Churchyard,CE,Staple Churchyard,
CE:Ste. Marie,CE,Ste. Marie,
CE:Stevenage,CE,Stevenage,
CE:Stillwater,CE,Stillwater,
CE:Stoke-On-Trent Burslem,CE,Stoke-On-Trent Burslem,
CE:Stoke-On-Trent Hanley,CE,Stoke-On-Trent Hanley,
CE:Strand,CE,Strand,
CE:Stratford Kopuatama,CE,Stratford Kopuatama,
CE:Stratford-Sub-Castle,CE,Stratford-Sub-Castle,
CE:Sucrerie,CE,Sucrerie,
CE:Suez,CE,Suez,
CE:Sunken Road,CE,Sunken Road,
CE:Sutton,CE,Sutton,
CE:Suva,CE,Suva,
CE:Swanson,CE,Swanson,
CE:Taihape,CE,Taihape,
CE:Tamahere,CE,Tamahere,
CE:Tamaterau,CE,Tamaterau,
CE:Tancrez Farm,CE,Tancrez Farm,
CE:Tapanui,CE,Tapanui,
CE:Taradale,CE,Taradale,
CE:Tararu,CE,Tararu,
CE:Taringamotu,CE,Taringamotu,
CE:Tataraimaka,CE,Tataraimaka,
CE:Taumarunui,CE,Taumarunui,
CE:Taupiri,CE,Taupiri,
CE:Tauranga Anglican,CE,Tauranga Anglican,
CE:Tauranga Presby,CE,Tauranga Presby,
CE:Tauranga Welcome Bay,CE,Tauranga Welcome Bay,
CE:Te Aroha,CE,Te Aroha,
CE:Te Awamutu,CE,Te Awamutu,
CE:Te Hauke,CE,Te Hauke,
CE:Te Kaha,CE,Te Kaha,
CE:Te Kahika,CE,Te Kahika,
CE:Te Kao,CE,Te Kao,
CE:Te Kuiti,CE,Te Kuiti,
CE:Te Ore Ore,CE,Te Ore Ore,
CE:Te Urupa O Putiki,CE,Te Urupa O Putiki,
CE:Tehran,CE,Tehran,
CE:Tehran Memorial,CE,Tehran Memorial,
CE:Tel El Kebir,CE,Tel El Kebir,
CE:Templeton,CE,Templeton,
CE:Temuka,CE,Temuka,
CE:Terlincthun,CE,Terlincthun,
CE:Thames Parawai,CE,Thames Parawai,
CE:Thames Shortland,CE,Thames Shortland,
CE:Thames Totara,CE,Thames Totara,
CE:The Farm,CE,The Farm,
CE:The Huts,CE,The Huts,
CE:The Nek,CE,The Nek,
CE:Thiepval,CE,Thiepval,
CE:Thilloy Road,CE,Thilloy Road,
CE:Thistle Dump,CE,Thistle Dump,
CE:Tidworth,CE,Tidworth,
CE:Tikapa,CE,Tikapa,
CE:Tilloy,CE,Tilloy,
CE:Timaru,CE,Timaru,
CE:Toberanierin,CE,Toberanierin,
CE:Tokomaru Bay,CE,Tokomaru Bay,
CE:Tolaga,CE,Tolaga,
CE:Tolaga Bay Maori,CE,Tolaga Bay Maori,
CE:Torquay,CE,Torquay,
CE:Tourcoing,CE,Tourcoing,
CE:Tourgeville,CE,Tourgeville,
CE:Tournai,CE,Tournai,
CE:Tralee,CE,Tralee,
CE:Trentham,CE,Trentham,
CE:Trois Arbres,CE,Trois Arbres,
CE:Tuahiwi Chief,CE,Tuahiwi Chief,
CE:Tuakau,CE,Tuakau,
CE:Tuamarina,CE,Tuamarina,
CE:Tuapeka,CE,Tuapeka,
CE:Tuatapere,CE,Tuatapere,
CE:Tuparoa,CE,Tuparoa,
CE:Twelve Tree Copse,CE,Twelve Tree Copse,
CE:Twelve Tree Copse NZ Memorial,CE,Twelve Tree Copse NZ Memorial,
CE:Tyne Cot,CE,Tyne Cot,
CE:Tyne Cot Memorial,CE,Tyne Cot Memorial,
CE:Underhill Farm,CE,Underhill Farm,
CE:Upper Tutaenui,CE,Upper Tutaenui,
CE:Uranie,CE,Uranie,
CE:Valenciennes,CE,Valenciennes,
CE:Varennes,CE,Varennes,
CE:Vaulx Hill,CE,Vaulx Hill,
CE:Vertigneul,CE,Vertigneul,
CE:Vevey,CE,Vevey,
CE:Viesly,CE,Viesly,
CE:Villers Hill,CE,Villers Hill,
CE:Villers-Faucon,CE,Villers-Faucon,
CE:Vlamertinghe,CE,Vlamertinghe,
CE:Voormezeele 1 & 2,CE,Voormezeele 1 & 2,
CE:Voormezeele 3,CE,Voormezeele 3,
CE:Waihaha,CE,Waihaha,
CE:Waihi,CE,Waihi,
CE:Waikaia,CE,Waikaia,
CE:Waikaka,CE,Waikaka,
CE:Waikanae,CE,Waikanae,
CE:Waikaraka Park,CE,Waikaraka Park,
CE:Waikouaiti,CE,Waikouaiti,
CE:Waimangaroa,CE,Waimangaroa,
CE:Waimate,CE,Waimate,
CE:Waipiro Bay,CE,Waipiro Bay,
CE:Waipu,CE,Waipu,
CE:Waipukurau,CE,Waipukurau,
CE:Wairoa,CE,Wairoa,
CE:Wairoa Ruataniwha,CE,Wairoa Ruataniwha,
CE:Waitahuna,CE,Waitahuna,
CE:Waitara,CE,Waitara,
CE:Waitati,CE,Waitati,
CE:Waiuku,CE,Waiuku,
CE:Walker's Ridge,CE,Walker's Ridge,
CE:Walton-On-Thames,CE,Walton-On-Thames,
CE:Wandsworth,CE,Wandsworth,
CE:Wanganui,CE,Wanganui,
CE:Wanganui Aramoho,CE,Wanganui Aramoho,
CE:Wanganui Heads Road,CE,Wanganui Heads Road,
CE:Warepa,CE,Warepa,
CE:Warkworth Anglican,CE,Warkworth Anglican,
CE:Warkworth Presby,CE,Warkworth Presby,
CE:Warlencourt,CE,Warlencourt,
CE:Warrington,CE,Warrington,
CE:Waterton,CE,Waterton,
CE:Wavans,CE,Wavans,
CE:Waverley,CE,Waverley,
CE:Wellington Karori,CE,Wellington Karori,
CE:Wellington Memorial,CE,Wellington Memorial,
CE:Weri Weri,CE,Weri Weri,
CE:West Norwood,CE,West Norwood,
CE:West Oxford,CE,West Oxford,
CE:West Taieri,CE,West Taieri,
CE:Westhof Farm,CE,Westhof Farm,
CE:Westouter,CE,Westouter,
CE:Westoutre,CE,Westoutre,
CE:Westport,CE,Westport,
CE:Whakaki,CE,Whakaki,
CE:Whakapirau,CE,Whakapirau,
CE:Whakarewarewa,CE,Whakarewarewa,
CE:Whakatane,CE,Whakatane,
CE:Whangarei Maunu,CE,Whangarei Maunu,
CE:Whangarei Otaika,CE,Whangarei Otaika,
CE:Whareora,CE,Whareora,
CE:Whirinaki,CE,Whirinaki,
CE:Whitchurch,CE,Whitchurch,
CE:White House,CE,White House,
CE:Whitianga,CE,Whitianga,
CE:Wieltje Farm,CE,Wieltje Farm,
CE:Wimereux,CE,Wimereux,
CE:Winton,CE,Winton,
CE:Wokingham,CE,Wokingham,
CE:Wolvercote,CE,Wolvercote,
CE:Woodgrange Park,CE,Woodgrange Park,
CE:Woodville,CE,Woodville,
CE:Woolwich,CE,Woolwich,
CE:Wreys Bush,CE,Wreys Bush,
CE:Wulverghem-Lindenhoek,CE,Wulverghem-Lindenhoek,
CE:Wyndham,CE,Wyndham,
CE:Wytschaete,CE,Wytschaete,
CE:Y Farm,CE,Y Farm,
CE:Ypres Reservoir,CE,Ypres Reservoir,
CE:Zuydcoote,CE,Zuydcoote,
EN:Ayun Kara,EN,Ayun Kara,
EN:Gallipoli,EN,Gallipoli,
LW:Greece,LW,Greece,
LW:Malta,LW,Malta,
ME:AM,ME,AM,
ME:DCM,ME,DCM,
ME:DCM-Bar,ME,DCM-Bar,
ME:DSO,ME,DSO,
ME:DSO-Bar,ME,DSO-Bar,
ME:MC,ME,MC,
ME:MC-Bar,ME,MC-Bar,
ME:MG,ME,MG,
ME:MG-C,ME,MG-C,
ME:MiD,ME,MiD,
ME:MiD-2,ME,MiD-2,
ME:MiD-3,ME,MiD-3,
ME:MiD-5,ME,MiD-5,
ME:MM,ME,MM,
ME:MM-Bar,ME,MM-Bar,
ME:MSM,ME,MSM,
ME:NZESM,ME,NZESM,
ME:OB,ME,OB,
ME:OB-C,ME,OB-C,
ME:OBE,ME,OBE,
ME:OBE-M,ME,OBE-M,
ME:OBE-O,ME,OBE-O,
ME:VC,ME,VC,
SC:Otago Boys,SC,Otago Boys,
SC:Wgtn Col,SC,Wgtn Col,
SC:Waitaki Boys,SC,Waitaki Boys,
SI:My Family,SI,My Family,
SI:POW,SI,POW,
SO:Brigadier,SO,Brigadier,
SO:Captain,SO,Captain,
SO:Chaplain Class III (Major),SO,Chaplain Class III (Major),
SO:Colonel,SO,Colonel,
SO:Lieutenant,SO,Lieutenant,
SO:Lieutenant Colonel,SO,Lieutenant Colonel,
SO:Major,SO,Major,
SO:Major General,SO,Major General,
TN:1,TN,1,
TN:10,TN,10,
TN:100,TN,100,
TN:101,TN,101,
TN:102,TN,102,
TN:103,TN,103,
TN:104,TN,104,
TN:105,TN,105,
TN:106,TN,106,
TN:107,TN,107,
TN:108,TN,108,
TN:109,TN,109,
TN:11,TN,11,
TN:110,TN,110,
TN:111,TN,111,
TN:12,TN,12,
TN:13,TN,13,
TN:14,TN,14,
TN:15,TN,15,
TN:16,TN,16,
TN:17,TN,17,
TN:18,TN,18,
TN:19,TN,19,
TN:2,TN,2,
TN:20,TN,20,
TN:21,TN,21,
TN:22,TN,22,
TN:23,TN,23,
TN:24,TN,24,
TN:25,TN,25,
TN:26,TN,26,
TN:27,TN,27,
TN:28,TN,28,
TN:29,TN,29,
TN:3,TN,3,
TN:30,TN,30,
TN:31,TN,31,
TN:32,TN,32,
TN:33,TN,33,
TN:34,TN,34,
TN:35,TN,35,
TN:36,TN,36,
TN:37,TN,37,
TN:38,TN,38,
TN:39,TN,39,
TN:4,TN,4,
TN:40,TN,40,
TN:41,TN,41,
TN:42,TN,42,
TN:43,TN,43,
TN:44,TN,44,
TN:45,TN,45,
TN:46,TN,46,
TN:47,TN,47,
TN:48,TN,48,
TN:49,TN,49,
TN:5,TN,5,
TN:50,TN,50,
TN:51,TN,51,
TN:52,TN,52,
TN:53,TN,53,
TN:54,TN,54,
TN:55,TN,55,
TN:56,TN,56,
TN:57,TN,57,
TN:58,TN,58,
TN:59,TN,59,
TN:6,TN,6,
TN:60,TN,60,
TN:61,TN,61,
TN:62,TN,62,
TN:63,TN,63,
TN:64,TN,64,
TN:65,TN,65,
TN:66,TN,66,
TN:67,TN,67,
TN:68,TN,68,
TN:69,TN,69,
TN:7,TN,7,
TN:70,TN,70,
TN:71,TN,71,
TN:72,TN,72,
TN:73,TN,73,
TN:74,TN,74,
TN:75,TN,75,
TN:76,TN,76,
TN:77,TN,77,
TN:78,TN,78,
TN:79,TN,79,
TN:8,TN,8,
TN:80,TN,80,
TN:81,TN,81,
TN:82,TN,82,
TN:83,TN,83,
TN:84,TN,84,
TN:85,TN,85,
TN:86,TN,86,
TN:87,TN,87,
TN:88,TN,88,
TN:89,TN,89,
TN:9,TN,9,
TN:90,TN,90,
TN:91,TN,91,
TN:92,TN,92,
TN:93,TN,93,
TN:94,TN,94,
TN:95,TN,95,
TN:96,TN,96,
TN:97,TN,97,
TN:98,TN,98,
TN:99,TN,99,
TS:Aparima,TS,Aparima,
TS:Arawa,TS,Arawa,
TS:Athenic,TS,Athenic,
TS:Corinthic,TS,Corinthic,
TS:Dalmore,TS,Dalmore,
TS:Devon,TS,Devon,
TS:Hawkes Bay,TS,Hawkes Bay,
TS:Ionic,TS,Ionic,
TS:Knight of the Garter,TS,Knight of the Garter,
TS:Knight Templar,TS,Knight Templar,
TS:Limerick,TS,Limerick,
TS:Maheno,TS,Maheno,
TS:Marama,TS,Marama,
TS:Matatua,TS,Matatua,
TS:Maunganui,TS,Maunganui,
TS:Moeraki,TS,Moeraki,
TS:Mokoia,TS,Mokoia,
TS:Monowai,TS,Monowai,
TS:Navua,TS,Navua,
TS:Opawa,TS,Opawa,
TS:Orari,TS,Orari,
TS:Pakeha,TS,Pakeha,
TS:Port Lyttelton,TS,Port Lyttelton,
TS:Remuera,TS,Remuera,
TS:Ruahine,TS,Ruahine,
TS:Ruapehu,TS,Ruapehu,
TS:Star of India,TS,Star of India,
TS:Tahiti,TS,Tahiti,
TS:Talune,TS,Talune,
TS:Tofua,TS,Tofua,
TS:Turakina,TS,Turakina,
TS:Ulimaroa,TS,Ulimaroa,
TS:Verdala,TS,Verdala,
TS:Waihora,TS,Waihora,
TS:Waimana,TS,Waimana,
TS:Waitemata,TS,Waitemata,
TS:Waitomo,TS,Waitomo,
TS:Warrimoo,TS,Warrimoo,
TS:Willochra,TS,Willochra,
VE:10th Contingent,VE,10th Contingent,
VE:Andes,VE,Andes,
VE:Aparima,VE,Aparima,
VE:Aparima or Navua or Warrimoo,VE,Aparima or Navua or Warrimoo,
VE:Aquitania,VE,Aquitania,
VE:Arawa,VE,Arawa,
VE:Arawa or Limerick,VE,Arawa or Limerick,
VE:Athenic,VE,Athenic,
VE:Balmoral Castle,VE,Balmoral Castle,
VE:Bayano,VE,Bayano,
VE:Berrima,VE,Berrima,
VE:Corinthic,VE,Corinthic,
VE:Corinthic or Arawa,VE,Corinthic or Arawa,
VE:Cornwall,VE,Cornwall,
VE:CU HMNZS Philomel,VE,CU HMNZS Philomel,x
VE:CU SS Devon,VE,CU SS Devon,x
VE:Dalmore,VE,Dalmore,
VE:Devon,VE,Devon,
VE:Devon or Pakeha,VE,Devon or Pakeha,
VE:Drayton Grange,VE,Drayton Grange,
VE:Dunera,VE,Dunera,
VE:Empire Pride,VE,Empire Pride,
VE:Empress of Britain,VE,Empress of Britain,
VE:Empress of Canada,VE,Empress of Canada,
VE:Empress of Japan,VE,Empress of Japan,
VE:Empress of Scotland,VE,Empress of Scotland,
VE:Gulf of Taranto,VE,Gulf of Taranto,
VE:Gymeric,VE,Gymeric,
VE:H.S. Oranje,VE,H.S. Oranje,x
VE:Haranui,VE,Haranui,
VE:Hawkes Bay,VE,Hawkes Bay,
VE:HMNZ Philomel,VE,HMNZ Philomel,x
VE:HMNZS Philomel,VE,HMNZS Philomel,x
VE:HMS Ganges,VE,HMS Ganges,x
VE:HMS Pyramus,VE,HMS Pyramus,x
VE:Hororata,VE,Hororata,
VE:Hurunui,VE,Hurunui,
VE:Ionic,VE,Ionic,
VE:Iris,VE,Iris,
VE:Kanowna,VE,Kanowna,
VE:Kent,VE,Kent,
VE:Knight Templar,VE,Knight Templar,
VE:Knight Templar or Waitoma,VE,Knight Templar or Waitoma,
VE:Kumara,VE,Kumara,
VE:Leitrim,VE,Leitrim,
VE:Lincolnshire,VE,Lincolnshire,
VE:Lynn,VE,Lynn,
VE:Maheno,VE,Maheno,
VE:Makarini,VE,Makarini,
VE:Makura,VE,Makura,
VE:Manitou,VE,Manitou,
VE:Manuka,VE,Manuka,
VE:Maori,VE,Maori,
VE:Marama,VE,Marama,
VE:Marquette,VE,Marquette,
VE:Matatua,VE,Matatua,
VE:Maui,VE,Maui,
VE:Maunganui,VE,Maunganui,
VE:Maunganui or Tahiti or Aparima,VE,Maunganui or Tahiti or Aparima,
VE:Maunganui or Tahiti or Aparima or Navua or Warrimoo,VE,Maunganui or Tahiti or Aparima or Navua or Warrimoo,
VE:Maunganui WWI,VE,Maunganui WWI,
VE:Mauretania,VE,Mauretania,
VE:Mauritania,VE,Mauritania,
VE:Melusia,VE,Melusia,
VE:Moana,VE,Moana,
VE:Moeraki,VE,Moeraki,
VE:Moeraki or Monowai,VE,Moeraki or Monowai,
VE:Mokoia,VE,Mokoia,
VE:Monowai,VE,Monowai,
VE:Monowai or Rangatira,VE,Monowai or Rangatira,
VE:Monterey,VE,Monterey,
VE:Morea,VE,Morea,
VE:Morinda,VE,Morinda,
VE:Navua,VE,Navua,
VE:Neptune,VE,Neptune,
"VE:New Zealand Infantry Brigade WWI, WWII",VE,"New Zealand Infantry Brigade WWI, WWII",
VE:Niagara,VE,Niagara,
VE:Nieuw Amsterdam,VE,Nieuw Amsterdam,
VE:Nieuw Amsterdam transferring to Nevassa at Bombay,VE,Nieuw Amsterdam transferring to Nevassa at Bombay,
VE:Norfolk,VE,Norfolk,
VE:Opawa,VE,Opawa,
VE:Orari,VE,Orari,
VE:Orari or Arawa,VE,Orari or Arawa,
VE:Orcades,VE,Orcades,
VE:Osterley,VE,Osterley,
VE:Pakeha,VE,Pakeha,
VE:Paloona,VE,Paloona,
VE:Paparoa,VE,Paparoa,
VE:Pera,VE,Pera,
VE:Port Haking,VE,Port Haking,
VE:Port Lyttelton,VE,Port Lyttelton,
VE:Port Nicholson,VE,Port Nicholson,
VE:Remuera,VE,Remuera,
VE:Rimutaka,VE,Rimutaka,
VE:Riverina,VE,Riverina,
VE:RMS Tahiti,VE,RMS Tahiti,
VE:Rotorua,VE,Rotorua,
VE:Ruahine,VE,Ruahine,
VE:Ruapehu,VE,Ruapehu,
VE:Ruapehu or Hawkes Bay,VE,Ruapehu or Hawkes Bay,
VE:SS Cornwall,VE,SS Cornwall,
VE:SS Norfolk,VE,SS Norfolk,
VE:SS Waiwera,VE,SS Waiwera,
VE:Star of India,VE,Star of India,
VE:Star of India or Waimana,VE,Star of India or Waimana,
VE:Strathaird,VE,Strathaird,
VE:Surrey,VE,Surrey,
VE:Tahiti,VE,Tahiti,
VE:Tahiti or Athenic,VE,Tahiti or Athenic,
VE:Tahiti or Maunganui,VE,Tahiti or Maunganui,
VE:Tainui,VE,Tainui,
VE:Talune,VE,Talune,
VE:Tofua,VE,Tofua,
VE:Tutanekai,VE,Tutanekai,
VE:Ulimaroa,VE,Ulimaroa,
VE:Ulimaroa or Mokoia or Navua,VE,Ulimaroa or Mokoia or Navua,
VE:Unknown Ship,VE,Unknown Ship,x
VE:UST West Point,VE,UST West Point,x
VE:Verdala or Willochra or Knight of the Garter,VE,Verdala or Willochra or Knight of the Garter,
VE:Waihora,VE,Waihora,
VE:Waimana,VE,Waimana,
VE:Waimate,VE,Waimate,
VE:Waitemata,VE,Waitemata,
VE:Waiwera,VE,Waiwera,
VE:Warrimoo,VE,Warrimoo,
VE:Westralia,VE,Westralia,
VE:Willochra,VE,Willochra,
VE:Willochra or Knight Templar,VE,Willochra or Knight Templar,
VE:Willochra or Knight Templar or Waitomo,VE,Willochra or Knight Templar or Waitomo,
VE:Willochra or Tofua,VE,Willochra or Tofua,
VE:Zealandic,VE,Zealandic,
