Cemetery Proper Name,Cemetery Short Name,Lat,Lng,Country
Otahuhu Public Cemetery,Otahuhu,-36.93762,174.84283,New Zealand
Okauia Maori Cemetery,Okauia,-37.80158,175.87263,New Zealand
Awanui Church Cemetery,Awanui,-35.04552,173.25621,New Zealand
Kaimaumau Cemetery,Kaimaumau,-34.91667,173.267,New Zealand
Pamapuria (St. Stephens Church) Maori Cemetery,Pamapuria,-35.12042,173.33272,New Zealand
Te Kao Maori Cemetery,Te Kao,-34.65569,172.96144,New Zealand
Hillsborough Cemetery,Hillsborough,-36.92666,174.75038,New Zealand
Motuihe Island Cemetery,Motuihe,-36.80014,174.93631,New Zealand
Waihi Public Cemetery,Waihi,-37.40987,175.86186,New Zealand
Te Kaha Maori Cemetery,Te Kaha,-37.74318,177.67568,New Zealand
Devonport (O'Neill's Point) Cemetery,Devonport,-36.81208,174.78196,New Zealand
Vevey (St. Martin's) Cemetery,Vevey,46.46315,6.84824,Switzerland
Auckland Provincial Memorial,Auckland Provincial,-36.90207,174.65485,New Zealand
Gibraltar (North Front) Cemetery,Gibraltar,36.14794,-5.34505,Gibraltar
Tuamarina Cemetery,Tuamarina,-41.42815,173.96069,New Zealand
Mangamaunu Maori Cemetery,Mangamaunu,-42.31228,173.75053,New Zealand
Tuahiwi Chief Maori Cemetery,Tuahiwi Chief,-43.32865,172.64531,New Zealand
Hororata Cemetery,Hororata,-43.51966,171.94611,New Zealand
Lincoln Cemetery,Lincoln,-43.63258,172.48467,New Zealand
Port Chalmers Cemetery,Port Chalmers,-45.80958,170.62175,New Zealand
Invercargill (Waikiwi) St. John's Cemetery,Invercargill Waikiwi,-46.37515,168.34267,New Zealand
Dipton Cemetery,Dipton,-45.9001,168.3508,New Zealand
Gore Cemetery,Gore,-46.09067,168.93557,New Zealand
Waikaia Cemetery,Waikaia,-45.7158,168.84823,New Zealand
Wyndham Cemetery,Wyndham,-46.31499,168.88249,New Zealand
Tapanui Cemetery,Tapanui,-45.94251,169.28287,New Zealand
Waitahuna Cemetery,Waitahuna,-45.99684,169.75481,New Zealand
Lower Moutere Cemetery,Lower Moutere,-41.1719,172.99897,New Zealand
"Richmond Cemetery, Tasman District",Richmond,-41.3486,173.17832,New Zealand
Little River Cemetery,Little River,-43.75922,172.80664,New Zealand
Kumara Cemetery,Kumara,-42.64655,171.17206,New Zealand
Ross Cemetery,Ross,-42.90217,170.81164,New Zealand
Milton (Fairfax) Cemetery,Milton,-46.1328,169.97628,New Zealand
"Clinton Cemetery, Clutha",Clinton,-46.19707,169.36447,New Zealand
Warepa Cemetery,Warepa,-46.27779,169.6011,New Zealand
Laithkirk (Lune Chapel) Churchyard,Laithkirk,54.61157,-2.07167,United Kingdom
Tuatapere Cemetery,Tuatapere,-46.10896,167.6909,New Zealand
Birkenhead Public Cemetery,Birkenhead Publ,-36.79946,174.7213,New Zealand
Birkenhead Catholic Cemetery,Birkenhead Cath,-36.80371,174.72517,New Zealand
Ahipara Maori Cemetery,Ahipara Maori,-35.17161,173.14946,New Zealand
Mauku (St. Brides) Anglican Churchyard,Mauku,-37.19889,174.80677,New Zealand
Hukerenui Public Cemetery,Hukerenui,-35.5216,174.20093,New Zealand
Kaikohe Maori Cemetery,Kaikohe,-35.42011,173.78975,New Zealand
Bombay (St. Peter's In The Forest) Anglican Church Cemetery,Bombay Anglican,-37.1868,174.9912,New Zealand
Pukekohe Public Cemetery,Pukekohe,-37.21026,174.89675,New Zealand
Waiuku Public Cemetery,Waiuku,-37.26108,174.73465,New Zealand
Avoca Public Cemetery,Avoca,-35.80796,173.90377,New Zealand
Rotoroa Island Cemetery,Rotoroa Island,-36.8132,175.20169,New Zealand
Christchurch (Waimairi) Cemetery,Christchurch Waimairi,-43.50048,172.57806,New Zealand
Fairlie Cemetery,Fairlie,-44.10756,170.83009,New Zealand
Kaiapoi Cemetery,Kaiapoi,-43.37584,172.6366,New Zealand
Rangiora (St. John's) Anglican Cemetery,Rangiora St. Johns,-43.29586,172.59561,New Zealand
Portobello Cemetery,Portobello,-45.83941,170.65347,New Zealand
"Queenstown Cemetery, New Zealand",Queenstown,-45.02999,168.65606,New Zealand
Athol Cemetery,Athol,-45.50905,168.57728,New Zealand
Bluff Cemetery,Bluff,-46.60173,168.32487,New Zealand
Mataura Cemetery,Mataura,-46.20232,168.8821,New Zealand
Waikaka Cemetery,Waikaka,-45.93149,169.01999,New Zealand
Tuapeka Mouth Cemetery,Tuapeka,-46.01766,169.52126,New Zealand
Cromwell Cemetery,Cromwell,-45.05414,169.17354,New Zealand
Karitane Cemetery,Karitane,-45.64243,170.65966,New Zealand
"Palmerston Cemetery, Waitaki District",Palmerston,-45.49297,170.70118,New Zealand
Owaka Cemetery,Owaka,-46.4487,169.66909,New Zealand
Epsom (St. Andrew) Churchyard,Epsom,-36.89367,174.76542,New Zealand
Rangiahua (Korokota) Maori Cemetery,Rangiahua,-35.30456,173.65335,New Zealand
Whirinaki (Tongariro) Maori Cemetery,Whirinaki,-35.46287,173.46607,New Zealand
Otahuhu (Holy Trinity) Anglican Cemetery Memorial Park,Otahuhu Anglican,-36.93726,174.84461,New Zealand
Opotiki Public Cemetery,Opotiki,-38.01816,177.28879,New Zealand
Ohinemango Maori Cemetery,Ohinemango,-37.69743,177.72204,New Zealand
Hakaru (St. Michael's) Churchyard,Hakaru,-36.14967,174.51015,New Zealand
Messines Ridge (N.Z.) Memorial,Messines Ridge NZ Memorial,50.76509,2.89067,Belgium
Solesmes Communal Cemetery,Solesmes Communal,50.18527,3.50376,France
Karori (St. Mary's) Churchyard,Karori St. Marys,-41.28259,174.74285,New Zealand
Suva Old Cemetery,Suva,-18.11952,178.43182,Fiji
Barthomley (St. Bertoline) Churchyard,Barthomley,53.06807,-2.34873,United Kingdom
Hamilton West Public Cemetery,Hamilton West,-37.77888,175.26718,New Zealand
Cambridge (Hautapu) Public Cemetery,Cambridge Hautapa,-37.86384,175.45621,New Zealand
Woodville Old Cemetery,Woodville,-40.33633,175.83326,New Zealand
"St. Sever Cemetery Extension, Rouen",St. Sever Extension,49.41035,1.06698,France
"Brighton General Cemetery, Victoria",Brighton General,-37.90128,145.02065,Australia
"Springvale Botanical Cemetery, Melbourne",Springvale,-37.94843,145.17407,Australia
"Terlincthun British Cemetery, Wimille",Terlincthun,50.74402,1.61013,France
Louvencourt Military Cemetery,Louvencourt,50.08929,2.5037,France
Ewshot (St. Mary) Churchyard,Ewshot,51.2416,-0.83237,United Kingdom
Blargies Communal Cemetery Extension,Blargies,49.67271,1.77122,France
Wieltje Farm Cemetery,Wieltje Farm,50.86879,2.91102,Belgium
Featherston Cemetery,Featherston,-41.12125,175.31401,New Zealand
Wanganui (Aramoho) Cemetery,Wanganui Aramoho,-39.89479,175.09241,New Zealand
Greytown (Papawai) Maori Cemetery,Greytown Papawai,-41.0986,175.48904,New Zealand
Hawera Cemetery,Hawera,-39.59153,174.29444,New Zealand
"Eltham Cemetery, Taranaki",Eltham,-39.41976,174.32509,New Zealand
"Queant Road Cemetery, Buissy",Queant Road,50.19383,3.01502,France
Gisborne (Taruheru) Cemetery,Gisborne,-38.64282,177.98035,New Zealand
Dannevirke (Mangatera) Cemetery,Dannevirke,-40.18867,176.11718,New Zealand
Masterton Cemetery,Masterton,-40.95213,175.66628,New Zealand
Marton (Mount View) Cemetery,Marton,-40.06262,175.42587,New Zealand
Ramleh War Cemetery,Ramleh,31.93018,34.88383,Israel and Palestine (including Gaza)
"Hastings Cemetery, New Zealand",Hastings,-39.63141,176.82616,New Zealand
Napier (Old) Cemetery,Napier Old,-39.48904,176.90232,New Zealand
Napier (Park Island) Cemetery,Napier Park Island,-39.50349,176.85511,New Zealand
Napier (Waiohiki) Maori Cemetery,Napier Waiohiki,-39.55385,176.83565,New Zealand
Tolaga Bay Public Cemetery,Tolaga,-38.36523,178.30459,New Zealand
Te Hauke Maori Cemetery,Te Hauke,-39.77279,176.6898,New Zealand
Kuku Maori Cemetery,Kuku,-40.67433,175.2402,New Zealand
Levin (Tiro Tiro Road) Cemetery,Levin,-40.6252,175.27046,New Zealand
Waikanae Cemetery,Waikanae,-40.86789,175.05138,New Zealand
Lower Hutt (Taita) Cemetery,Lower Hutt,-41.1967,174.95748,New Zealand
Porirua Cemetery,Porirua,-41.14541,174.84212,New Zealand
Rongotea Cemetery,Rongotea,-40.30154,175.45301,New Zealand
Pahiatua (Mangatainoka) Cemetery,Pahiatua,-40.42439,175.86136,New Zealand
Patea Cemetery,Patea,-39.74486,174.46896,New Zealand
Hunterville (Rangitira) Cemetery,Hunterville,-39.89717,175.60457,New Zealand
Ration Farm (La Plus Douve) Annexe,Ration Farm,50.754,2.86352,Belgium
Dainville Communal Cemetery,Dainville,50.28261,2.73078,France
Franvillers Communal Cemetery Extension,Franvillers,49.96496,2.51095,France
Martinsart British Cemetery,Martinsart,50.03773,2.63487,France
Sedgley (All Saints) Churchyard West Extension,Sedgley,52.54042,-2.12456,United Kingdom
Hornchurch (St. Andrew) Churchyard,Hornchurch,51.56074,0.22554,United Kingdom
Newcastle-Upon-Tyne (St. Andrew's And Jesmond) Cemetery,Newcastle-Upon-Tyne,54.98985,-1.60814,United Kingdom
Colombo (Kanatte) General Cemetery,Colombo Kanatte,6.90794,79.87748,Sri Lanka
Kiltallagh Catholic Churchyard,Kiltallagh,52.18405,-9.66523,"Ireland, Republic of"
Tralee Military Cemetery,Tralee,52.2608,-9.68524,"Ireland, Republic of"
Forbes Cemetery,Forbes,-33.36961,147.99589,Australia
Enschede Roman Catholic Cemetery,Enschede,52.24988,6.91169,Netherlands
Lyttelton Cemetery,Lyttelton,-43.60244,172.72512,New Zealand
Reefton Cemetery,Reefton,-42.08578,171.84687,New Zealand
Christchurch (Avonside) Anglican Church Cemetery,Christchurch Avonside,-43.52658,172.65823,New Zealand
Hanmer Springs Cemetery,Hanmer Springs,-42.51766,172.86361,New Zealand
"Methven Cemetery, Ashburton",Methven,-43.63672,171.65618,New Zealand
Kelso (Holy Trinity) Anglican Cemetery,Kelso,-33.41141,149.60345,Australia
Donoughmore Catholic Churchyard,Donoughmore,51.992,-8.75778,"Ireland, Republic of"
Stratford-Sub-Castle (St. Lawrence) Churchyard,Stratford-Sub-Castle,51.0929,-1.81574,United Kingdom
Dundee Eastern Necropolis,Dundee Eastern,56.47189,-2.93671,United Kingdom
"Brinkworth Cemetery, Wiltshire",Brinkworth,51.55941,-1.98362,United Kingdom
Te Urupa O Putiki Maori Cemetery,Te Urupa O Putiki,-39.09553,177.94577,New Zealand
Mohaka (Hiruharama) Maori Cemetery,Mohaka,-39.11649,177.19588,New Zealand
Wairoa (Ruataniwha) Maori Cemetery,Wairoa Ruataniwha,-39.02391,177.39422,New Zealand
Wanganui (Heads Road) Old Cemetery,Wanganui Heads Road,-39.93929,175.04592,New Zealand
Wanganui Old Catholic Cemetery,Wanganui,-39.93989,175.04727,New Zealand
Matarawa Cemetery,Matarawa,-39.94686,175.14479,New Zealand
Johnsonville (St. John's Anglican Churchyard) Cemetery,Johnsonville,-41.22021,174.80743,New Zealand
"Dartmoor Cemetery, Becordel-Becourt",Dartmoor,49.99169,2.68813,France
Albany Public Cemetery,Albany,-36.72975,174.69724,New Zealand
Kaukapakapa (All Saints) Cemetery,Kaukapakapa,-36.6391,174.506,New Zealand
Mangapehi Maori Cemetery,Mangapehi,-38.50949,175.29902,New Zealand
Te Kuiti Old Public Cemetery,Te Kuiti,-38.32822,175.171,New Zealand
Matata (Rangiaohia) Maori Cemetery,Matata,-37.8905,176.76391,New Zealand
Kamo Public Cemetery,Kamo,-35.69292,174.29138,New Zealand
Whangarei (Maunu) Public Cemetery,Whangarei Maunu,-35.74437,174.25729,New Zealand
Tamaterau (Pakikaikutu) Maori Cemetery,Tamaterau,-35.76756,174.40673,New Zealand
Waipu Public Cemetery,Waipu,-35.99683,174.4744,New Zealand
Whangarei (Otaika) Public Cemetery,Whangarei Otaika,-35.75112,174.30911,New Zealand
Whareora Cemetery,Whareora,-35.69711,174.3857,New Zealand
Matauri Bay Maori Cemetery,Matauri Bay,-35.0346,173.90848,New Zealand
Leigh Public Cemetery,Leigh,-36.29046,174.80887,New Zealand
Matakana Public Cemetery,Matakana,-36.34848,174.72365,New Zealand
Whakatane (Domain Road) Public Cemetery,Whakatane,-37.95842,176.98338,New Zealand
Warkworth Anglican Church Cemetery,Warkworth Anglican,-36.4019,174.66294,New Zealand
Kawhia (Te Hokinga Mai) Urupa,Kawhia,-38.0354,174.8417,New Zealand
Ngaruawahia Public Cemetery,Ngaruawahia,-37.68057,175.16637,New Zealand
Rotorua Public Cemetery,Rotorua,-38.15286,176.26306,New Zealand
"Greytown Cemetery, New Zealand",Greytown,-41.09335,175.44127,New Zealand
Whakarewarewa Maori Graves,Whakarewarewa,-38.1629,176.25552,New Zealand
Matapihi Maori Cemetery,Matapihi,-37.67691,176.20478,New Zealand
Tauranga Public Anglican Cemetery,Tauranga Anglican,-37.71152,176.15809,New Zealand
Tauranga (Welcome Bay) Maori Cemetery,Tauranga Welcome Bay,-37.7133,176.21677,New Zealand
Omahu Public Cemetery,Omahu,-37.27079,175.6536,New Zealand
Taupiri Maori Cemetery,Taupiri,-37.61765,175.19925,New Zealand
Thames (Shortland) Public Cemetery,Thames Shortland,-37.14261,175.55781,New Zealand
Tararu Public Cemetery,Tararu,-37.10683,175.51889,New Zealand
Thames (Totara) Memorial Park,Thames Totara,-37.16554,175.56084,New Zealand
Hamilton East Public Cemetery,Hamilton East,-37.80314,175.30819,New Zealand
Huntly (Kimihia) Public Cemetery,Huntly,-37.53139,175.15911,New Zealand
Cambridge (Leamington) Public Cemetery,Cambridge Leamington,-37.90426,175.48768,New Zealand
Waipiro Bay Services Cemetery,Waipiro Bay,-38.01918,178.33452,New Zealand
Pukerimu Cemetery,Pukerimu,-37.90516,175.42978,New Zealand
Te Awamutu Public Cemetery,Te Awamutu,-37.99914,175.34241,New Zealand
Menin Road South Military Cemetery,Menin Road,50.8499,2.90459,Belgium
Hallencourt Communal Cemetery,Hallencourt,49.99634,1.88015,France
Ypres Reservoir Cemetery,Ypres Reservoir,50.85368,2.87716,Belgium
Addolorata Cemetery,Addolorata,35.87126,14.50019,Malta
Waitara Cemetery,Waitara,-38.99533,174.25366,New Zealand
Manutuke Cemetery,Manutuke,-38.67474,177.90938,New Zealand
Havelock North Cemetery,Havelock North,-39.67898,176.88034,New Zealand
Taradale Cemetery,Taradale,-39.53031,176.83651,New Zealand
Otaki Catholic Cemetery,Otaki Catholic,-40.74499,175.14282,New Zealand
Feilding Cemetery,Feilding,-40.18986,175.55406,New Zealand
Deir El Belah War Cemetery,Deir El Belah,31.42497,34.37361,Israel and Palestine (including Gaza)
"Masnieres British Cemetery, Marcoing",Masnieres,50.12297,3.19921,France
Ecclesall (All Saints) Churchyard,Ecclesall,53.35652,-1.51108,United Kingdom
"Gommecourt British Cemetery No.2, Hebuterne",Gommecourt,50.13,2.65015,France
Gaza War Cemetery,Gaza,31.51247,34.4821,Israel and Palestine (including Gaza)
"Rossignol Wood Cemetery, Hebuterne",Rossignol Wood,50.12961,2.66542,France
Jerusalem War Cemetery,Jerusalem,31.79812,35.23947,Israel and Palestine (including Gaza)
Ruesnes Communal Cemetery,Ruesnes,50.26169,3.58237,France
Les-Rues-Des-Vignes Communal Cemetery,Les-Rues-Des-Vignes,50.09883,3.23648,France
Edinburgh (Comely Bank) Cemetery,Edinburgh,55.95983,-3.2284,United Kingdom
Douai Communal Cemetery,Douai,50.36448,3.0945,France
Staple Churchyard,Staple Churchyard,50.74884,2.45473,France
Hebuterne Military Cemetery,Hebuterne,50.12555,2.63131,France
Le Quesnoy Communal Cemetery Extension,Le Quesnoy,50.25587,3.63284,France
Wavans British Cemetery,Wavans,50.2258,2.156,France
Auxi-Le-Chateau Churchyard,Auxi-Le-Chateau,50.23197,2.12002,France
Poelcapelle British Cemetery,Poelcapelle,50.92104,2.97188,Belgium
"St. Hilaire Cemetery, Frevent",St. Hilaire,50.28074,2.29838,France
"St. Hilaire Cemetery Extension, Frevent",St. Hilaire Extension,50.28084,2.29845,France
Beauvois-En-Cambresis Communal Cemetery,Beauvois,50.13621,3.38598,France
"Duisans British Cemetery, Etrun",Duisans,50.31587,2.6741,France
St. Pol Communal Cemetery Extension,St. Pol Extension,50.38141,2.34258,France
"St. Pol British Cemetery, St. Pol-Sur-Ternoise",St. Pol,50.3688,2.33173,France
"Fins New British Cemetery, Sorel-Le-Grand",Fins,50.03281,3.04912,France
Sedlescombe (St. John The Baptist) Churchyard,Sedlescombe,50.94139,0.52749,United Kingdom
"Pont-Du-Hem Military Cemetery, La Gorgue",Pont-Du-Hem,50.61039,2.74941,France
Puchevillers British Cemetery,Puchevillers,50.05613,2.39584,France
"Flatiron Copse Cemetery, Mametz",Flatiron Copse,50.0198,2.75826,France
Hove Old Cemetery,Hove,50.8381,-0.19048,United Kingdom
Fontaine-Au-Pire Communal Cemetery,Fontaine-Au-Pir,50.1305,3.3701,France
Wokingham (St. Sebastian) Churchyard,Wokingham,51.38192,-0.81659,United Kingdom
Freetown (King Tom) Cemetery Memorial,Freetown,8.49302,-13.24648,Sierra Leone
Tel El Kebir War Memorial Cemetery,Tel El Kebir,30.56146,31.78723,Egypt
"Ribecourt Road Cemetery, Trescault",Ribecourt Road,50.09382,3.10309,France
Cologne Southern Cemetery,Cologne,50.90056,6.94389,Germany
Hazebrouck Communal Cemetery,Hazebrouck,50.71623,2.5328,France
Ribecourt British Cemetery,Ribecourt,50.10662,3.13279,France
"Cabaret-Rouge British Cemetery, Souchez",Cabaret-Rouge,50.38061,2.7416,France
"Euston Road Cemetery, Colincamps",Euston Road,50.10181,2.61972,France
Aubigny Communal Cemetery Extension,Aubigny Communa,50.34827,2.58997,France
Chadderton (St. Matthew) Churchyard,Chadderton,53.55739,-2.15145,United Kingdom
Martinborough Cemetery,Martinborough,-41.21581,175.47236,New Zealand
Nuhaka (Takuraukahea) Maori Cemetery,Nuhaka,-39.01923,177.76598,New Zealand
Opunake Cemetery,Opunake,-39.45196,173.84541,New Zealand
Sanson Cemetery,Sanson,-40.2028,175.44533,New Zealand
Waverley Cemetery,Waverley,-39.76777,174.62917,New Zealand
Mangaweka Cemetery,Mangaweka,-39.81904,175.78382,New Zealand
Taihape Cemetery,Taihape,-39.68685,175.80519,New Zealand
Driffield Cemetery,Driffield,54.01124,-0.42551,United Kingdom
Kaikoura Cemetery,Kaikoura,-42.41048,173.67945,New Zealand
Cheviot (Homeview) Cemetery,Cheviot,-42.79379,173.27018,New Zealand
Sezanne Communal Cemetery,Sezanne,48.72914,3.72972,France
Hakataramea Cemetery,Hakataramea,-44.7188,170.4757,New Zealand
Taringamotu Maori Cemetery,Taringamotu,-38.82781,175.3155,New Zealand
Christchurch (Woolston) Cemetery,Christchurch Woolston,-43.55621,172.68242,New Zealand
Brookside Anglican Churchyard,Brookside Anglican,-43.69039,172.30319,New Zealand
Balcairn Cemetery,Balcairn,-43.19872,172.71042,New Zealand
South Malvern Cemetery,South Malvern,-43.48083,171.94817,New Zealand
West Oxford Cemetery,West Oxford,-43.29795,172.19877,New Zealand
Prebbleton Anglican Churchyard,Prebbleton,-43.57833,172.51355,New Zealand
Templeton Cemetery,Templeton,-43.55005,172.4712,New Zealand
Kaiapoi Anglican Cemetery,Kaiapoi,-43.39092,172.65131,New Zealand
Rangiora Presbyterian Cemetery,Rangiora Presby,-43.29988,172.59967,New Zealand
Waikouaiti Cemetery,Waikouaiti,-45.58854,170.69103,New Zealand
Warrington (St. Barnabas) Anglican Cemetery,Warrington,-45.70606,170.59417,New Zealand
Kawakawa Cemetery,Kawakawa,-35.37609,174.0786,New Zealand
Okaihau (St. Catherines) Churchyard,Okaihau,-35.32673,173.75959,New Zealand
Pakaraka (Holy Trinity) Churchyard,Pakaraka Holy Trinity,-35.36104,173.9502,New Zealand
Pokeno (Fraser Road) Public Cemetery,Pokeno,-37.23675,175.02174,New Zealand
Tuakau Public Cemetery,Tuakau,-37.28466,174.94562,New Zealand
Orira Cemetery,Orira,-35.31903,173.5747,New Zealand
Kakahi Maori Cemetery,Kakahi,-38.94768,175.36989,New Zealand
Otahuhu Roman Catholic Cemetery,Otahuhu Catholic,-36.94358,174.84884,New Zealand
Matamata Public Cemetery,Matamata,-37.80183,175.75357,New Zealand
Pawarenga Church Cemetery,Pawarenga,-35.35365,173.24876,New Zealand
Leeds (Holbeck) Cemetery,Leeds,53.77815,-1.55946,United Kingdom
Cagnicourt British Cemetery,Cagnicourt,50.21319,3.00512,France
Norsewood Cemetery,Norsewood,-40.06786,176.21366,New Zealand
Oldham (Chadderton) Cemetery,Oldham,53.54678,-2.14677,United Kingdom
Otaki Maori Cemetery,Otaki Maori,-40.7497,175.13811,New Zealand
Otaki Public Cemetery,Otaki,-40.7532,175.14984,New Zealand
Trentham (St. John's Anglican) Cemetery,Trentham,-41.13016,175.04437,New Zealand
Foxton Cemetery,Foxton,-40.48039,175.31509,New Zealand
Te Ore Ore Maori Cemetery,Te Ore Ore,-40.95209,175.69034,New Zealand
Greatford Cemetery,Greatford,-40.12597,175.4173,New Zealand
Upper Tutaenui Cemetery,Upper Tutaenui,-40.00854,175.40906,New Zealand
Lyttelton Anglican Cemetery,Lyttelton Anglican,-43.59852,172.72259,New Zealand
Swanson Public Cemetery,Swanson,-36.87188,174.58309,New Zealand
Ruatoki North Maori (Old) Cemetery,Ruatoki North,-38.13936,177.00614,New Zealand
Purua Pioneer Cemetery,Purua,-35.65932,174.13065,New Zealand
Murupara (Te Papa Marae) Maori Cemetery,Murupara,-38.45028,176.69925,New Zealand
Tuparoa (Purapura-A-Ure) Maori Cemetery,Tuparoa,-37.91707,178.38393,New Zealand
Okete Public Cemetery,Okete,-37.83303,174.91759,New Zealand
Port Albert Public Cemetery,Port Albert,-36.28621,174.44846,New Zealand
Tikapa Maori Cemetery,Tikapa,-37.79995,178.44316,New Zealand
Warkworth Presbyterian Public Cemetery,Warkworth Presby,-36.41277,174.66731,New Zealand
Okere Maori Cemetery,Okere,-38.02255,176.35362,New Zealand
Taumarunui (Old) Cemetery,Taumarunui,-38.87564,175.25462,New Zealand
Katikati Public Cemetery,Katikati,-37.5822,175.90572,New Zealand
Rangiwaea Island (Te Pirau) Maori Cemetery,Rangiwaea Island,-37.63665,176.12342,New Zealand
Maungatapu (Waitaia) Maori Cemetery,Maungatapu,-37.72173,176.17078,New Zealand
Tauranga Public Presbyterian Cemetery,Tauranga Presby,-37.71027,176.15325,New Zealand
Te Kahika Maori Cemetery,Te Kahika,-37.78845,176.34449,New Zealand
Tamahere Church Cemetery,Tamahere,-37.82993,175.35766,New Zealand
Thames (Parawai) Maori Cemetery,Thames Parawai,-37.15914,175.56382,New Zealand
Pidley (All Saints) Churchyard,Pidley,52.38638,-0.05136,United Kingdom
"Delville Wood Cemetery, Longueval",Delville Wood,50.02438,2.8127,France
Maubeuge (Sous-Le-Bois) Cemetery,Maubeuge,50.27322,3.9374,France
Dijon (Les Pejoces) Communal Cemetery,Dijon,47.30424,5.06504,France
Nielles-Les-Blequin Churchyard,Nielles-Les-Blequin,50.67507,2.0298,France
Dunfermline Cemetery,Dunfermline,56.07697,-3.43949,United Kingdom
Kincardine Parish Churchyard,Kincardine,57.2179,-3.75934,United Kingdom
Serre Road Cemetery No.1,Serre Road 1,50.09996,2.65718,France
St. Waast-La-Vallee Communal Cemetery,St. Waast-La-Vallee,50.30271,3.75588,France
Saultain Communal Cemetery,Saultain,50.33706,3.57222,France
Reading Cemetery,Reading,51.45295,-0.94812,United Kingdom
Bethencourt Communal Cemetery,Bethencourt,50.13939,3.43441,France
Cambrai East Military Cemetery,Cambrai,50.17885,3.26084,France
Allery Communal Cemetery,Allery,49.95843,1.89901,France
Fillievres British Cemetery,Fillievres,50.31093,2.16593,France
Dundee (Balgay) Cemetery,Dundee Balgay,56.46396,-3.02226,United Kingdom
"Outtersteene Communal Cemetery Extension, Bailleul",Outtersteene,50.71393,2.68583,France
Kirriemuir Cemetery,Kirriemuir,56.67747,-2.99793,United Kingdom
Le Cateau Military Cemetery,Le Cateau,50.11045,3.52701,France
Killyman (St. Andrew) Church Of Ireland Churchyard,Killyman,54.48783,-6.69985,United Kingdom
"Heath Cemetery, Harbonnieres",Heath,49.87297,2.67168,France
"Queens Cemetery, Bucquoy",Queens,50.13344,2.70247,France
Haifa War Cemetery,Haifa,32.82777,34.98559,Israel and Palestine (including Gaza)
Vaulx Hill Cemetery,Vaulx Hill,50.15119,2.9186,France
Lancashire Landing Cemetery,Lancashire Landing,40.05376,26.17359,Turkey (including Gallipoli)
St. Aubert British Cemetery,St. Aubert,50.20314,3.39722,France
Heliopolis (Aden) Memorial,Heliopolis,30.07798,31.32922,Egypt
East Mudros Military Cemetery,East Mudros,39.87429,25.27824,Greece
Twelve Tree Copse Cemetery,Twelve Tree Copse,40.08758,26.21512,Turkey (including Gallipoli)
Erquinghem-Lys Churchyard Extension,Erquinghem-Lys,50.67913,2.84656,France
Lone Pine Memorial,Lone Pine Memorial,40.2304,26.2879,Turkey (including Gallipoli)
Nieppe Communal Cemetery,Nieppe,50.70599,2.84126,France
Roclincourt Valley Cemetery,Roclincourt Valley,50.33322,2.80449,France
Tyne Cot Memorial,Tyne Cot Memorial,50.88745,3.00051,Belgium
"Walker's Ridge Cemetery, Anzac",Walker's Ridge,40.24169,26.28818,Turkey (including Gallipoli)
"Y Farm Military Cemetery, Bois-Grenier",Y Farm,50.63963,2.86494,France
Portianos Military Cemetery,Portianos,39.8847,25.1776,Greece
"Quinn's Post Cemetery, Anzac",Quinn's Post,40.23815,26.29168,Turkey (including Gallipoli)
"Lone Pine Cemetery, Anzac",Lone Pine,40.2307,26.28712,Turkey (including Gallipoli)
"Baby 700 Cemetery, Anzac",Baby 700,40.24276,26.29417,Turkey (including Gallipoli)
"Chunuk Bair Cemetery, Anzac",Chunuk Bair,40.25197,26.3085,Turkey (including Gallipoli)
7Th Field Ambulance Cemetery,7Th Field Ambul,40.26126,26.28071,Turkey (including Gallipoli)
"The Nek Cemetery, Anzac",The Nek,40.24233,26.29035,Turkey (including Gallipoli)
"L'Homme Mort British Cemetery, Ecoust-St. Mein",L'Homme Mort,50.16731,2.87309,France
Marcoing British Cemetery,Marcoing,50.11804,3.1876,France
St. Souplet British Cemetery,St. Souplet,50.05251,3.52354,France
Valenciennes (St. Roch) Communal Cemetery,Valenciennes,50.3671,3.53892,France
Carnmoney Cemetery,Carnmoney,54.66999,-5.93954,United Kingdom
Brighton City (Bear Road) Cemetery,Brighton City,50.8367,-0.1116,United Kingdom
La Longueville Communal Cemetery,La Longueville,50.29111,3.8497,France
Hill 60 Cemetery,Hill 60,40.27276,26.29276,Turkey (including Gallipoli)
"Buttes New British Cemetery (N.Z.) Memorial, Polygon Wood",Buttes NZ Memorial,50.85692,2.99085,Belgium
Thiepval Anglo-French Cemetery,Thiepval,50.05087,2.68535,France
"The Farm Cemetery, Anzac",The Farm,40.25401,26.30465,Turkey (including Gallipoli)
Skew Bridge Cemetery,Skew Bridge,40.05973,26.19982,Turkey (including Gallipoli)
Arras Flying Services Memorial,Arras Flying,50.287,2.76039,France
Embarkation Pier Cemetery,Embarkation Pier,40.25477,26.28014,Turkey (including Gallipoli)
Foncquevillers Military Cemetery,Foncquevillers,50.14928,2.62608,France
No.2 Outpost Cemetery,No.2 Outpost,40.25218,26.28187,Turkey (including Gallipoli)
New Zealand No.2 Outpost Cemetery,NZ No.2 Outpost,40.25313,26.28049,Turkey (including Gallipoli)
"Plugge's Plateau Cemetery, Anzac",Plugge's Plateau,40.23746,26.28023,Turkey (including Gallipoli)
Bertrancourt Communal Cemetery,Bertrancourt Communal,50.10086,2.55873,France
